r;theta;x;y
0.272132;4.920105;0.056121;-0.266283
0.804618;4.569981;-0.114197;-0.796473
0.759217;5.545621;0.561903;-0.510564
0.738521;0.678534;0.574934;0.463535
0.975088;4.318804;-0.373948;-0.900533
0.998129;5.583408;0.763555;-0.642842
0.872077;2.216563;-0.524826;0.696474
0.616722;3.192210;-0.615932;-0.031204
0.529209;0.674255;0.413403;0.330393
0.930184;5.255055;0.480367;-0.796549
0.316315;5.930347;0.296828;-0.109307
0.437937;2.830292;-0.416888;0.134139
0.557250;1.192385;0.205873;0.517827
0.526485;1.366492;0.106816;0.515535
0.465355;4.835565;0.057176;-0.461829
0.843489;5.070304;0.295493;-0.790036
0.262707;5.499270;0.186037;-0.185486
0.225058;4.055331;-0.137463;-0.178199
0.870545;3.745187;-0.716721;-0.494126
0.519394;4.452554;-0.133443;-0.501959
0.532376;1.671528;-0.053537;0.529677
0.772835;3.520431;-0.718037;-0.285827
0.367642;3.103718;-0.367379;0.013921
0.261440;2.608929;-0.225220;0.132767
0.775424;2.827094;-0.737391;0.239869
0.501589;4.406643;-0.150981;-0.478327
0.627527;6.030180;0.607549;-0.157079
0.817402;1.386511;0.149784;0.803561
0.386663;5.939696;0.364076;-0.130218
0.661932;2.300042;-0.441050;0.493588
0.480924;4.184476;-0.242257;-0.415451
0.415965;5.131195;0.169160;-0.380015
0.735674;1.405410;0.121116;0.725635
0.679765;5.123416;0.271601;-0.623148
0.579737;4.598356;-0.065966;-0.575972
0.723923;0.853709;0.475756;0.545637
0.998941;4.006725;-0.647853;-0.760375
0.834366;4.080282;-0.492982;-0.673153
0.804993;1.764752;-0.155156;0.789899
0.254207;4.810715;0.024955;-0.252979
0.497160;5.231160;0.246499;-0.431748
0.991635;0.988408;0.545419;0.828165
0.890112;4.093414;-0.516444;-0.724972
0.614802;2.878698;-0.593678;0.159773
0.336409;5.127928;0.135803;-0.307780
0.907867;5.408641;0.582258;-0.696562
0.694345;3.227057;-0.691811;-0.059269
0.823084;3.390928;-0.797631;-0.203104
0.503619;0.876812;0.322117;0.387134
0.595904;3.705370;-0.503683;-0.318441
0.622697;2.485107;-0.493265;0.380055
0.491886;5.667358;0.401525;-0.284130
0.741322;2.855519;-0.711195;0.209192
0.742554;1.241388;0.240204;0.702629
0.501689;0.831636;0.337972;0.370766
0.692513;3.134430;-0.692495;0.004960
0.693741;2.908581;-0.674993;0.160191
0.810043;4.963264;0.201095;-0.784685
0.794200;0.214577;0.775986;0.169112
0.498083;4.674219;-0.019007;-0.497721
0.605507;0.454331;0.544081;0.265734
0.347978;2.294029;-0.230296;0.260869
0.319786;5.017482;0.096058;-0.305018
0.648955;2.236161;-0.400629;0.510527
0.674135;4.877279;0.110655;-0.664991
0.679688;5.291762;0.372129;-0.568767
0.829525;4.422910;-0.236790;-0.795011
0.510442;1.493331;0.039502;0.508911
0.821432;5.101551;0.311662;-0.760011
0.975498;5.821007;0.873152;-0.434974
0.678711;2.709121;-0.616223;0.284459
0.970389;5.918289;0.906499;-0.346285
0.640654;3.756245;-0.523397;-0.369449
0.498202;0.258811;0.481609;0.127505
0.385134;3.118295;-0.385029;0.008972
0.549062;0.196783;0.538465;0.107350
0.291469;2.655010;-0.257640;0.136293
0.955394;1.176319;0.367182;0.882018
0.858759;2.098081;-0.432118;0.742119
0.736962;1.205900;0.262986;0.688441
0.331908;3.276311;-0.328901;-0.044579
0.741949;5.015710;0.221614;-0.708079
0.474730;5.095908;0.177638;-0.440243
0.743168;2.616771;-0.643147;0.372371
0.373267;0.127209;0.370251;0.047355
0.585589;0.730910;0.436010;0.390908
0.983752;1.788000;-0.211998;0.960638
0.241359;2.376338;-0.174069;0.167194
0.631463;1.925539;-0.219338;0.592146
0.967341;0.398517;0.891538;0.375379
0.564893;4.734820;0.012670;-0.564751
0.781728;2.538771;-0.643940;0.443215
0.832154;3.291610;-0.822808;-0.124370
0.768944;2.701443;-0.695654;0.327628
0.926173;4.088726;-0.540896;-0.751816
0.371788;3.043016;-0.369983;0.036590
0.414948;1.288468;0.115602;0.398520
0.893833;5.742228;0.766208;-0.460285
0.126905;2.206881;-0.075388;0.102086
0.574783;4.220950;-0.271238;-0.506760
0.609493;1.191556;0.225644;0.566186
0.887757;2.131571;-0.472147;0.751792
0.995270;2.279031;-0.647417;0.755919
0.483537;5.690436;0.401049;-0.270125
0.430733;1.065364;0.208555;0.376877
0.696735;3.170715;-0.696440;-0.020288
0.960796;0.606566;0.789399;0.547701
0.651955;3.867986;-0.487385;-0.433014
0.787664;0.102542;0.783526;0.080627
0.749607;3.004682;-0.742592;0.102309
0.428267;4.399084;-0.131994;-0.407419
0.692007;5.478611;0.479850;-0.498615
0.951421;1.745538;-0.165408;0.936932
0.549731;2.749893;-0.508095;0.209865
0.793125;0.935767;0.470482;0.638509
0.791073;3.247659;-0.786627;-0.083749
0.581871;2.600667;-0.498799;0.299623
0.610314;5.312370;0.344600;-0.503720
0.541277;0.770595;0.388364;0.377033
0.517207;6.250915;0.516938;-0.016688
0.540557;4.730881;0.009995;-0.540465
0.706752;4.597294;-0.081164;-0.702076
0.921673;5.809081;0.820014;-0.420782
0.929324;6.196773;0.925857;-0.080205
0.676177;2.673835;-0.603543;0.304879
0.990358;0.986347;0.546420;0.825974
0.801275;2.888267;-0.775702;0.200819
0.170088;3.438436;-0.162649;-0.049751
0.858774;2.080576;-0.419069;0.749583
0.707994;5.547374;0.524826;-0.475197
0.998207;0.798285;0.696685;0.714876
0.957144;5.349152;0.569114;-0.769567
0.239399;1.813384;-0.057507;0.232390
0.834766;5.445291;0.558483;-0.620428
0.641290;3.020264;-0.636576;0.077616
0.928175;1.381088;0.175028;0.911523
0.483356;2.268280;-0.310455;0.370473
0.683989;3.766562;-0.554702;-0.400183
0.895491;2.082782;-0.438709;0.780665
0.319478;4.872441;0.050915;-0.315394
0.870080;0.520725;0.754758;0.432873
0.669931;5.751835;0.577563;-0.339452
0.242714;3.001710;-0.240343;0.033841
0.680204;1.965104;-0.261313;0.628007
0.570283;6.056564;0.555702;-0.128135
0.442321;2.020930;-0.192448;0.398261
0.779317;0.702297;0.594900;0.503417
0.415915;4.176107;-0.212509;-0.357526
0.957463;2.426390;-0.722847;0.627876
0.728898;5.305145;0.407198;-0.604552
0.931054;2.468054;-0.727730;0.580750
0.761905;3.875764;-0.565628;-0.510455
0.519772;0.303729;0.495981;0.155454
0.465096;3.697152;-0.395148;-0.245300
0.946667;5.244782;0.480525;-0.815643
0.938214;1.065433;0.454213;0.820936
0.957919;2.067495;-0.456473;0.842165
0.291553;3.096800;-0.291260;0.013055
0.568455;3.441175;-0.543136;-0.167763
0.897567;1.034941;0.458277;0.771757
0.167227;3.252353;-0.166203;-0.018484
0.052048;0.952858;0.030154;0.042423
0.381777;4.348253;-0.135967;-0.356745
0.903493;3.636965;-0.794886;-0.429484
0.771084;5.428333;0.506085;-0.581763
0.650524;2.899263;-0.631516;0.156103
0.879262;3.267458;-0.872306;-0.110376
0.771124;3.516171;-0.717656;-0.282139
0.291074;2.056474;-0.135876;0.257414
0.815100;6.163189;0.809239;-0.097574
0.402531;3.422030;-0.386806;-0.111411
0.387907;3.744728;-0.319465;-0.220032
0.624529;1.479533;0.056917;0.621930
0.298101;4.481030;-0.068355;-0.290158
0.547272;2.581403;-0.463624;0.290792
0.936960;5.301903;0.520909;-0.778812
0.963572;2.494142;-0.768568;0.581183
0.997736;0.466369;0.891184;0.448628
0.298332;2.061695;-0.140639;0.263102
0.808125;4.295010;-0.327587;-0.738751
0.841681;3.723409;-0.703196;-0.462540
0.813239;3.025530;-0.807767;0.094175
0.793084;1.608426;-0.029837;0.792523
0.746657;4.484360;-0.168788;-0.727329
0.763732;1.394145;0.134214;0.751847
0.833433;1.644127;-0.061062;0.831193
0.531856;2.270957;-0.342696;0.406731
0.926101;4.228006;-0.431251;-0.819564
0.336543;5.947205;0.317726;-0.110956
0.621359;2.593504;-0.530344;0.323763
0.597805;4.902977;0.113246;-0.586981
0.879173;5.040334;0.283180;-0.832319
0.832851;4.828138;0.096187;-0.827278
0.936173;4.917491;0.190668;-0.916551
0.782882;0.288009;0.750636;0.222372
0.991245;2.018982;-0.429538;0.893345
0.799023;4.045894;-0.493984;-0.628027
0.564988;1.680256;-0.061720;0.561607
0.645186;5.508525;0.461088;-0.451290
0.705323;3.241527;-0.701804;-0.070369
0.784185;4.451285;-0.202435;-0.757605
0.881803;5.641151;0.706217;-0.528046
0.264344;3.991324;-0.174516;-0.198550
0.755464;1.150703;0.308113;0.689777
0.313240;2.972983;-0.308798;0.052565
0.335054;6.106264;0.329824;-0.058970
0.877411;2.523063;-0.714855;0.508756
0.879793;2.912200;-0.856747;0.200053
0.828452;1.048086;0.413589;0.717828
0.873204;1.880162;-0.265851;0.831751
0.461137;1.642462;-0.033020;0.459953
0.370027;2.308675;-0.248924;0.273782
0.951488;2.865962;-0.915573;0.258951
0.388857;5.264983;0.204110;-0.330982
0.921517;4.075852;-0.547762;-0.741046
0.594855;6.160613;0.590392;-0.072730
0.934606;4.070128;-0.559836;-0.748380
0.628221;5.927344;0.588865;-0.218859
0.894076;3.026855;-0.888197;0.102359
0.801784;5.639102;0.641147;-0.481444
0.686481;1.705703;-0.092330;0.680243
0.621035;1.514920;0.034683;0.620066
0.820384;4.247898;-0.367505;-0.733464
0.470053;2.257944;-0.298171;0.363378
0.599361;3.140267;-0.599361;0.000795
0.418273;0.554384;0.355626;0.220187
0.872465;1.959550;-0.330695;0.807364
0.675033;1.149050;0.276328;0.615884
0.533251;0.774296;0.381229;0.372856
0.732924;4.083455;-0.431167;-0.592682
0.536914;5.598507;0.415906;-0.339558
0.793974;1.016399;0.417972;0.675051
0.734037;0.157431;0.724960;0.115084
0.324239;5.369208;0.197981;-0.256777
0.152141;1.660910;-0.013691;0.151524
0.867195;3.106432;-0.866659;0.030485
0.731992;4.109612;-0.414990;-0.602989
0.857619;4.556535;-0.133123;-0.847224
0.574577;2.970772;-0.566215;0.097673
0.290789;1.292608;0.079855;0.279609
0.699252;1.630549;-0.041758;0.698005
0.542180;4.816068;0.056112;-0.539268
0.296201;4.710058;-0.000690;-0.296200
0.974361;2.337923;-0.676274;0.701450
0.623870;3.057122;-0.621646;0.052636
0.733721;4.256802;-0.322830;-0.658883
0.945483;4.304566;-0.374990;-0.867941
0.916109;5.963384;0.869660;-0.288005
0.475921;2.894915;-0.461515;0.116212
0.896459;1.568585;0.001983;0.896456
0.491359;0.452502;0.441907;0.214831
0.862584;1.844737;-0.233353;0.830421
0.852105;6.257519;0.851824;-0.021868
0.137095;3.597589;-0.123087;-0.060371
0.992512;3.893721;-0.724768;-0.678079
0.882213;2.978450;-0.870498;0.143289
0.628942;0.454010;0.565227;0.275837
0.490446;3.036682;-0.487749;0.051358
0.581584;4.437613;-0.157802;-0.559766
0.609711;4.570728;-0.086083;-0.603603
0.842126;5.718283;0.711294;-0.450818
0.959843;3.789483;-0.765339;-0.579271
0.771483;1.739852;-0.129803;0.760485
0.261859;2.123962;-0.137576;0.222807
0.503982;2.441395;-0.385402;0.324751
0.766608;3.112891;-0.766292;0.022000
0.678659;2.084384;-0.333429;0.591103
0.888275;4.417161;-0.258451;-0.849844
0.572412;5.075727;0.203433;-0.535043
0.889910;1.964985;-0.341778;0.821661
0.971537;3.582917;-0.878451;-0.414980
0.550567;2.132840;-0.293406;0.465872
0.398559;0.377073;0.370558;0.146749
0.907058;0.084452;0.903826;0.076512
0.875375;4.466428;-0.213144;-0.849029
0.507196;2.987391;-0.501178;0.077901
0.788003;1.121838;0.342015;0.709911
0.771314;4.602345;-0.084707;-0.766648
0.674872;1.130012;0.287933;0.610366
0.265567;4.457612;-0.066931;-0.256995
0.753928;1.096831;0.344107;0.670819
0.452640;3.426460;-0.434398;-0.127205
0.711552;3.206102;-0.710072;-0.045870
0.498349;2.201088;-0.293717;0.402594
0.913480;3.497491;-0.856236;-0.318286
0.423560;4.890398;0.075000;-0.416867
0.802019;3.031813;-0.797191;0.087869
0.343195;5.039643;0.110318;-0.324981
0.242679;2.870731;-0.233831;0.064932
0.576088;5.184728;0.262103;-0.513010
0.409567;3.701582;-0.347010;-0.217552
0.903872;1.916654;-0.306416;0.850349
0.876168;5.832442;0.788660;-0.381689
0.193732;1.401929;0.032560;0.190976
0.790229;3.923284;-0.560844;-0.556701
0.670020;1.211838;0.235378;0.627315
0.893855;1.069159;0.429820;0.783729
0.504539;5.162479;0.219498;-0.454291
0.824882;0.121039;0.818847;0.099599
0.414667;0.196211;0.406711;0.080841
0.758886;5.451945;0.511459;-0.560641
0.899755;1.376910;0.173359;0.882896
0.591804;5.826668;0.531199;-0.260882
0.733197;2.570615;-0.616892;0.396260
0.619866;5.462953;0.422781;-0.453311
0.866402;3.468186;-0.820605;-0.277958
0.677186;0.527725;0.585058;0.341010
0.611046;4.665925;-0.028381;-0.610386
0.727052;2.581817;-0.616085;0.386061
0.694321;0.961742;0.397215;0.569474
0.742746;5.849696;0.674046;-0.311983
0.928595;5.447516;0.622791;-0.688781
0.785826;0.734184;0.583379;0.526489
0.829839;5.116423;0.326235;-0.763023
0.368935;2.368346;-0.264027;0.257687
0.919529;4.473760;-0.217350;-0.893472
0.494610;4.116065;-0.277775;-0.409243
0.668966;0.698835;0.512156;0.430363
0.314304;6.189528;0.312927;-0.029394
0.191575;3.034911;-0.190486;0.020399
0.609017;1.908241;-0.201632;0.574671
0.742531;2.172952;-0.420585;0.611933
0.622652;5.810250;0.554307;-0.283619
0.297390;5.757289;0.257205;-0.149286
0.923034;0.545845;0.788906;0.479184
0.263376;5.780619;0.230809;-0.126862
0.730913;5.853767;0.664552;-0.304310
0.887138;0.953511;0.513496;0.723419
0.751570;6.232907;0.750620;-0.037771
0.982884;4.404325;-0.298025;-0.936612
0.940896;5.099396;0.355111;-0.871310
0.964025;0.816337;0.660256;0.702429
0.991483;2.367881;-0.709230;0.692843
0.870344;0.514128;0.757828;0.428014
0.937180;4.990112;0.256944;-0.901269
0.284954;1.565826;0.001416;0.284951
0.312901;3.974442;-0.210511;-0.231500
0.333762;0.012290;0.333737;0.004102
0.271356;4.499955;-0.057213;-0.265256
0.958257;2.777023;-0.895278;0.341664
0.896138;3.166575;-0.895859;-0.022385
0.937200;2.119306;-0.488671;0.799715
0.975697;1.141705;0.405933;0.887244
0.073526;3.247408;-0.073114;-0.007766
0.416782;3.065057;-0.415562;0.031867
0.856834;3.614993;-0.762602;-0.390644
0.547186;4.168944;-0.282943;-0.468355
0.839802;5.019034;0.253504;-0.800627
0.746137;2.907651;-0.725812;0.172965
0.938419;2.733349;-0.861299;0.372550
0.879386;6.043350;0.854216;-0.208892
0.447869;5.474087;0.309098;-0.324107
0.332767;1.960253;-0.126347;0.307848
0.624128;4.402754;-0.190179;-0.594448
0.167851;1.933921;-0.059620;0.156906
0.377754;2.183972;-0.217385;0.308936
0.572818;0.132205;0.567820;0.075509
0.827580;5.004293;0.238158;-0.792571
0.450278;1.298401;0.121142;0.433676
0.559731;5.609685;0.437510;-0.349119
0.833346;0.298219;0.796563;0.244852
0.684217;3.205882;-0.682804;-0.043958
0.476784;4.333972;-0.176148;-0.443052
0.555910;4.926288;0.118004;-0.543241
0.817858;1.191707;0.302669;0.759792
0.468049;2.778506;-0.437535;0.166233
0.817219;5.881118;0.752049;-0.319795
0.910930;4.891969;0.162707;-0.896281
0.497990;1.378085;0.095376;0.488771
0.692316;4.979550;0.182768;-0.667756
0.208504;0.869291;0.134562;0.159270
0.374314;5.579136;0.285312;-0.242297
0.822037;5.183622;0.373193;-0.732443
0.827288;2.480897;-0.653198;0.507679
0.740269;3.229915;-0.737383;-0.065298
0.536336;1.523453;0.025383;0.535735
0.749346;1.710038;-0.104003;0.742094
0.518699;1.917603;-0.176304;0.487817
0.691582;3.632215;-0.610003;-0.325856
0.298729;0.924753;0.179844;0.238527
0.533013;5.181498;0.240971;-0.475432
0.325183;5.981278;0.310475;-0.096690
0.526330;5.878152;0.483744;-0.207400
0.496874;3.298779;-0.490749;-0.077781
0.819279;4.562761;-0.122130;-0.810125
0.563504;4.490542;-0.123989;-0.549694
0.617163;2.875487;-0.595440;0.162299
0.776298;0.355848;0.727664;0.270451
0.893868;5.047892;0.294301;-0.844030
0.671925;2.180253;-0.384624;0.550951
0.563431;1.605297;-0.019435;0.563095
0.325292;2.483907;-0.257439;0.198847
0.209774;5.599675;0.162650;-0.132476
0.836972;3.281651;-0.828776;-0.116842
0.685055;1.923371;-0.236560;0.642915
0.431071;1.694927;-0.053372;0.427754
0.804442;1.831963;-0.207713;0.777163
0.859104;5.806606;0.763373;-0.394107
0.862238;6.188580;0.858383;-0.081451
0.670199;2.605467;-0.576167;0.342344
0.476950;1.778500;-0.098353;0.466699
0.803565;0.783658;0.569194;0.567217
0.507008;4.804808;0.046791;-0.504844
0.425861;0.352217;0.399718;0.146913
0.753728;0.937407;0.446116;0.607525
0.958858;5.564138;0.721477;-0.631569
0.959707;3.402816;-0.927148;-0.247857
0.892882;6.063538;0.871430;-0.194546
0.657869;3.127525;-0.657804;0.009255
0.060704;2.629168;-0.052907;0.029763
0.565886;4.435049;-0.154938;-0.544262
0.829579;6.078065;0.812188;-0.168973
0.998712;5.922612;0.934490;-0.352356
0.638637;1.616249;-0.029018;0.637977
0.666264;2.345991;-0.466288;0.475903
0.433888;1.179612;0.165435;0.401111
0.810206;5.240032;0.407937;-0.700014
0.558985;5.739633;0.478422;-0.289095
0.339173;0.063925;0.338480;0.021667
0.697065;1.253470;0.217503;0.662263
0.399209;5.790961;0.351817;-0.188661
0.775505;0.505200;0.678627;0.375331
0.680614;2.504767;-0.547205;0.404725
0.749533;5.629910;0.595202;-0.455559
0.642463;3.553041;-0.588845;-0.256945
0.911496;4.605487;-0.097255;-0.906293
0.520907;0.222293;0.508090;0.114843
0.465503;4.933073;0.101897;-0.454214
0.988935;3.924163;-0.701257;-0.697303
0.747468;2.650876;-0.659264;0.352251
0.998962;4.693338;-0.019030;-0.998781
0.354955;1.072615;0.169608;0.311811
0.311925;2.754907;-0.288893;0.117633
0.774955;1.334140;0.181691;0.753355
0.669800;3.787548;-0.534852;-0.403194
0.641741;0.781327;0.455623;0.451928
0.724202;0.083183;0.721698;0.060172
0.452501;6.205927;0.451151;-0.034924
0.963451;1.777563;-0.197794;0.942929
0.632522;2.142547;-0.342261;0.531922
0.603940;1.450844;0.072270;0.599601
0.272000;0.957815;0.156484;0.222479
0.516032;1.826378;-0.130457;0.499269
0.968279;4.779198;0.064642;-0.966119
0.656947;3.118175;-0.656767;0.015383
0.835994;5.942995;0.788084;-0.278943
0.871546;5.182868;0.395083;-0.776854
0.795563;5.384005;0.495041;-0.622781
0.883000;1.466973;0.091511;0.878245
0.263108;1.434583;0.035728;0.260671
0.593832;6.266912;0.593753;-0.009663
0.932215;5.511007;0.667832;-0.650404
0.725948;3.707921;-0.612611;-0.389499
0.617382;2.860351;-0.593126;0.171353
0.934367;1.869851;-0.275280;0.892896
0.892321;1.494054;0.068412;0.889695
0.211795;2.428910;-0.160246;0.138485
0.624682;1.954988;-0.234137;0.579143
0.440002;5.303907;0.245355;-0.365244
0.766898;3.928128;-0.541661;-0.542895
0.925618;1.803387;-0.213354;0.900693
0.295618;0.833867;0.198660;0.218916
0.792622;4.525854;-0.146996;-0.778872
0.994789;2.563150;-0.832952;0.543872
0.685668;0.369646;0.639354;0.247722
0.390655;5.169654;0.172472;-0.350520
0.756699;0.135943;0.749717;0.102551
0.836588;0.625774;0.678063;0.490010
0.782157;3.753525;-0.640227;-0.449310
0.266807;3.046164;-0.265593;0.025422
0.946038;5.450180;0.636357;-0.700027
0.488826;5.905227;0.454325;-0.180389
0.877695;0.914392;0.535633;0.695302
0.875982;6.056677;0.853606;-0.196725
0.711355;5.477857;0.492880;-0.512928
0.324781;5.523837;0.235559;-0.223595
0.398555;1.211863;0.140003;0.373156
0.108904;4.945470;0.025154;-0.105959
0.955608;0.009205;0.955567;0.008796
0.843437;5.652844;0.681351;-0.497139
0.759374;5.428660;0.498587;-0.572765
0.849974;4.182051;-0.429938;-0.733218
0.941081;5.897945;0.872108;-0.353642
0.874751;0.086438;0.871485;0.075517
0.732175;5.255106;0.378142;-0.626968
0.706094;5.952816;0.667910;-0.229052
0.469203;1.595125;-0.011414;0.469064
0.635309;6.223495;0.634178;-0.037899
0.956951;1.074192;0.455932;0.841357
0.686150;2.650128;-0.604939;0.323806
0.206860;0.582062;0.172796;0.113721
0.548568;4.511264;-0.109588;-0.537510
0.534333;5.209640;0.254883;-0.469624
0.146417;4.492792;-0.031895;-0.142901
0.589031;4.604469;-0.063445;-0.585604
0.784046;5.803188;0.695446;-0.362054
0.336413;5.362919;0.203735;-0.267705
0.324889;3.236852;-0.323416;-0.030902
0.890069;5.471033;0.612313;-0.645985
0.727267;2.062789;-0.343549;0.641009
0.472726;3.417041;-0.454906;-0.128571
0.889986;6.031695;0.861989;-0.221471
0.893147;1.229582;0.298876;0.841656
0.683247;4.482845;-0.155461;-0.665325
0.939686;5.891291;0.868445;-0.358904
0.807217;2.778123;-0.754481;0.286981
0.739336;2.946054;-0.725247;0.143649
0.400177;5.228427;0.197463;-0.348067
0.545911;4.385236;-0.175428;-0.516957
0.252056;4.052510;-0.154515;-0.199141
0.973195;1.222790;0.331884;0.914856
0.291436;0.378769;0.270779;0.107766
0.219427;1.196871;0.080150;0.204264
0.758580;5.280207;0.407960;-0.639541
0.759989;0.655726;0.602371;0.463392
0.827663;1.994314;-0.340145;0.754538
0.405653;2.997720;-0.401461;0.058161
0.526668;6.046096;0.511935;-0.123701
0.820241;1.637128;-0.054368;0.818438
0.438275;0.453376;0.393998;0.191966
0.845303;5.301029;0.469338;-0.703036
0.717153;1.640892;-0.050228;0.715392
0.559074;1.198857;0.203180;0.520847
0.305429;0.797562;0.213328;0.218582
0.942728;4.229658;-0.437614;-0.835003
0.536903;2.212919;-0.321550;0.429966
0.931549;5.589220;0.716097;-0.595810
0.963760;5.754977;0.832410;-0.485722
0.772265;3.168466;-0.771986;-0.020751
0.522165;4.337459;-0.191221;-0.485892
0.353542;6.017300;0.341119;-0.092898
0.087937;1.819271;-0.021626;0.085237
0.975263;5.035753;0.309898;-0.924716
0.876450;3.920287;-0.623884;-0.615575
0.249042;6.033423;0.241315;-0.061557
0.460914;4.879271;0.076562;-0.454511
0.565938;4.566311;-0.082377;-0.559911
0.194209;0.937464;0.114939;0.156544
0.957891;4.067458;-0.575830;-0.765490
0.890219;2.027232;-0.392365;0.799087
0.566151;0.507399;0.494823;0.275096
0.821487;4.427535;-0.230852;-0.788383
0.697610;3.792996;-0.554763;-0.422963
0.370066;0.521837;0.320812;0.184468
0.790129;2.573624;-0.666075;0.425027
0.879421;1.669116;-0.086325;0.875174
0.940021;1.869034;-0.276212;0.898525
0.267481;5.245059;0.135836;-0.230423
0.314533;5.276054;0.168051;-0.265876
0.987452;1.011304;0.524096;0.836890
0.562415;1.178122;0.215214;0.519609
0.673696;0.961007;0.385822;0.552275
0.956167;3.088707;-0.954831;0.050544
0.904712;2.187573;-0.523293;0.738016
0.372745;3.838989;-0.285716;-0.239386
0.432619;6.131252;0.427635;-0.065477
0.456181;5.416112;0.295177;-0.347810
0.824914;4.365312;-0.280595;-0.775725
0.990973;5.136077;0.407414;-0.903350
0.881938;0.770840;0.632636;0.614480
0.862200;0.424410;0.785707;0.355040
0.623162;3.939746;-0.434986;-0.446227
0.604164;6.133828;0.597438;-0.089901
0.679564;2.915052;-0.662201;0.152635
0.576447;2.744935;-0.531690;0.222703
0.375834;1.036437;0.191408;0.323441
0.375135;3.739237;-0.310110;-0.211087
0.563829;3.589797;-0.508138;-0.244334
0.776565;0.857070;0.508382;0.587027
0.958905;1.623230;-0.050255;0.957587
0.864524;0.670146;0.677554;0.536956
0.483905;6.003596;0.465114;-0.133539
0.696427;2.708047;-0.631994;0.292563
0.408186;6.178822;0.405965;-0.042522
0.874519;5.934029;0.821752;-0.299177
0.325689;3.192939;-0.325259;-0.016716
0.109444;0.067588;0.109194;0.007391
0.367698;5.613046;0.288178;-0.228376
0.993472;0.712274;0.751936;0.649290
0.597737;2.006083;-0.252048;0.541997
0.258039;0.093575;0.256910;0.024111
0.695868;1.302567;0.184422;0.670985
0.355476;2.001119;-0.148292;0.323067
0.882409;4.583056;-0.113807;-0.875039
0.985519;1.347712;0.218035;0.961097
0.993862;4.515399;-0.194517;-0.974640
0.915152;4.638731;-0.067347;-0.912671
0.436465;2.026422;-0.192055;0.391940
0.828027;5.488174;0.579848;-0.591105
0.553087;2.830016;-0.526456;0.169554
0.904379;5.832870;0.814221;-0.393631
0.689156;2.175434;-0.391760;0.566974
0.969065;3.833610;-0.746141;-0.618353
